,,COMMENT_ID,AUTHOR,DATE,CONTENT,CLASS
Psy,143,z121cngqep23db2o404cjf4zvsf2cjerdaw,TLouX music,2014-11-05T22:41:42,Add me here...https://www.facebook.com/TLouXmusic﻿,1
Psy,144,z13osluqrpefv1hd323idhejzxanc3ai004,Tyrek Sings,2014-11-05T22:50:02,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1
Psy,145,z12ehhxzutqbsjrpq04ccjlqhrv5y3dzkn40k,NursePoison,2014-11-06T01:12:14,I think this is now a place to promote channels in the comment section lol.﻿,0
Psy,146,z12bv5zxvpryjjspn04cdfwz5lrtzjhooqw0k,Peter Johnson,2014-11-06T01:44:12,Get free gift cards and pay pal money!﻿,1
Psy,147,z12zstfhixudundzf04cjbsp0rjrzh1rw3k,MiningBip3,2014-11-06T02:22:00,Check out pivot animations in my channel﻿,1
Psy,148,z13zxdkalk3ryvxr004cj1vabkn2dvcyusg0k,Ju`Wan Wright,2014-11-06T02:39:07,Follow me on twitter &amp; IG : __killuminati94﻿,1
Psy,149,z12zjztrvlnafvk2n230wjmztyfxxpbk2,CronicleFPS,2014-11-06T03:10:26,Check me out I'm all about gaming ﻿,1
Psy,150,z12mzferzsanzhld022fhhdarrusivwkq,marye,2014-11-06T04:42:33,Oppa! Yeah! Best Song!﻿,0
Psy,151,z13cydjppmiostv1l22dtzd5xnbjebax004,Giang Nguyen,2014-11-06T04:54:22,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,1
Psy,152,z13hubqrnwquen2gu04cdbbx4rqgxxcwvo00k,Giang Nguyen,2014-11-06T04:55:41,https://www.facebook.com/teeLaLaLa﻿,1
Psy,153,z13xsxxqlxnzz3d3g22wfjx5lsrjgpaic04,MasterRobotTV,2014-11-06T05:40:43,http://www.twitch.tv/zxlightsoutxz﻿,1
Psy,154,z13zjbvbeszjcvdsx22ww5cgcrydzlf5u04,ROB YSF,2014-11-06T09:15:12,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,1
Psy,155,z12yinh5ks2oinqzn04cctkgvvrohbrazvo0k,Rancy Gaming,2014-11-06T09:41:07,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1
Psy,156,z13mtrjqsqzliho5w04cex3zmoqfvnpgyys0k,FatPocketsTv,2014-11-06T09:49:14,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1
Psy,157,z12lg1vizrmsgxm3q23oij4aqrjxjdd1p,Holly,2014-11-06T13:41:30,Follow me on Twitter @mscalifornia95﻿,1
Psy,158,z13zhhualofpyz22z22pydei0oeyt5abc04,unknown,2014-11-06T14:50:18,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0
Psy,159,z12sil2ziqneyjxpx04cehcgcsmmcr1a3ew,"thevlogmasters Vlog, Challenges en nog veel meer!",2014-11-06T15:28:54,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0
Psy,160,z12scr5ixnexwh2xa04civ3o3k25dr3wkfw,Freddie Barton,2014-11-06T15:31:35,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1
Psy,161,z13actcqdm31slqqu04cctub4n2nw1swwy00k,Sean Ortiz,2014-11-06T16:48:02,Incmedia.org where the truth meets you.﻿,1
Psy,162,z13dvrmxorf0cnj0423rsfcjlxevgjwll,ZodexHD,2014-11-06T17:50:59,look at my channel i make minecraft pe lets play ﻿,1
Psy,163,z12oep2i2ybiyn0sy23tc1uptrmkhxbse,Andr3wco7,2014-11-06T17:59:30,I found out this song now﻿,0
Psy,164,z13huxgx5rikd13v422khjnjusyvzxx4c04,michelle clough,2014-11-06T18:00:04,2 BILLION!!!﻿,0
Psy,165,z12qzzbpbzn4c5zwu04cir5gmzfozhy4cjk,lebanonwarior1,2014-11-06T18:07:21,Song name??﻿,0
Psy,166,z13mebgjooulgzdkt23kzvlqjyrzx32n0,amine moha,2014-11-06T18:11:37,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1
Psy,167,z12tzt2pluixhpbs4221xveiiqafd3epw04,PacKmaN,2014-11-06T18:23:21,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1
Psy,168,z13udh04hqjeyney404cgloh0vbegbmgvq40k,fad lad,2014-11-06T18:24:19,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,1
Psy,169,z13dtz1zzkagdromt230g5cqfsejstr3p,Digital Media Butterfly,2014-11-06T18:55:14,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
Psy,170,z12ox3a5vviky5ctq22nz1ewpo24wxyis04,JackTheLad,2014-11-06T19:00:11,Subscribe to me and I'll subscribe back!!!﻿,1
Psy,171,z13zy52aayqxsx5nr23curipvrretdy35,JoelR Ch,2014-11-06T19:28:25,http://flipagram.com/f/LUkA1QMrhF﻿,1
Psy,172,z12sitjpgyy3f5j2322iy1figqa4vnyja04,OverSpace33,2014-11-06T19:40:59,For Christmas Song visit my channel! ;)﻿,1
Psy,173,z12nejhigtr0tdvy504cgfcrhzvycxzin0k,Detroit Red Wings,2014-11-06T20:55:09,http://www.gofundme.com/gvr7xg﻿,1
Psy,174,z13chfswltzzyhys1234dvkb3r2ien0ld,DirtySouthFlorida3,2014-11-06T22:00:58,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1
Psy,175,z12tul0onm20hffur22qxhs5mvijddfj404,David Boček,2014-11-06T22:40:49,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,1
Psy,176,z121hjrymmf2jh4rf04cjrybiyfotjmof1g,Jackal James,2014-11-06T22:53:08,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,1
Psy,177,z120wncjevujt1aju04cff4b1yfcvhrbpis,Goran Theboss,2014-11-06T23:16:52,https://www.surveymonkey.com/s/CVHMKLT﻿,1
Psy,178,z124y1czouyechz4j04citox1mn1wz5pmos0k,YoungBrothersRecords,2014-11-06T23:22:32,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1
Psy,179,z12yu11xyumitzpho04cix1y3zn3ijrpcm40k,Chinsoman Films,2014-11-07T01:22:02,Please subscribe to me﻿,1
Psy,180,z13hfnup3tmvxhqfx22yvx4qnwj2gjj2a,Moymoy Palaboy,2014-11-07T01:24:27,"This is the best, funny and viral video of history (youtube) THE TRUE﻿",0
Psy,181,z13neh044nq2wn0o404citkh2taufzqxuz40k,Mason Sieverding,2014-11-07T01:50:10,Please check out my vidios﻿,1
Psy,182,z12uwhfpwnfrepmhg04ccx2ioxqzip4o0xw0k,VIP 2NEXO,2014-11-07T02:02:02,OPPA GANGNAM STYLE!!!﻿,0
Psy,183,z12kttwqvzi4fd0ei23rdp4xjt2ef5hbk04,Gaming 101,2014-11-07T04:13:47,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0
Psy,184,z131xnjjtqeyh5dy304cfhm50vagttfyemg0k,Chack Jason,2014-11-07T04:39:08,OPPA &lt;3﻿,0
Psy,185,z122dfb5htjxgpbot04cdj1aikatybbjsb0,Kitts Hausman,2014-11-07T04:48:01,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
Psy,186,z133xzqp3ubgyf2ko22osxkrfzvbd5b2y,TheInfectedDoge Gameplay,2014-11-07T05:04:28,most viewed video in the world﻿,0
Psy,187,z122srjbvovwzxg0522yd1i4ty3kznxqs04,Warrdrew,2014-11-07T07:46:57,I'm here to check the views.. holy shit﻿,0
Psy,188,z13lezboqn35jtqlm23mcpgp3tjbghmvk,Parssa Alimadad,2014-11-07T07:54:13,"Dear person reading this, You are beautiful and loving Have a great day﻿",0
Psy,189,z132yfjb1q2aupnvp224it3zdlfgebvxy04,Adrian Skalak,2014-11-07T08:19:37,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
Psy,190,z12av324qzztf5tan04ci1kycxbnf3u4f4g,BeatBoxBaaa,2014-11-07T09:04:08,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1
Psy,191,z12aillowmuftn5l022cv3hwbofjctgch,Cool Ong,2014-11-07T09:55:39,The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
Psy,192,z13xtdlovm2hzl05d04ccz1pnvqtezdriqc0k,Uroš Slemenjak,2014-11-07T12:08:13,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
Psy,193,z130xbcwfnj5vlskv23airsxqqfqvhl5504,Adam Mudd,2014-11-07T12:16:08,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,0
Psy,194,z12kix1zlmz3fhmhf04cipe5qpvsxrezbpg0k,Cromwell John Pascual,2014-11-07T12:51:06,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,0
Psy,195,z12mx3zj3pqigd3nb23xtpzwnriczf0zo04,Starfire003,2014-11-07T12:58:57,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
Psy,196,z12afdtaypuat3t5s04ccv4g4xe1elvbcdw,Lindsay Wofford,2014-11-07T13:12:45,What is he saying?!?!?!?!?!?!?!?$? ﻿,0
Psy,197,z123gh5o1pibgntf222einrisrfasnha104,Romeo Sweeney,2014-11-07T13:33:12,this has so many views﻿,0
Psy,198,z13xgr1w3oeycnszq04cihybwtimi3vqc40,Thanh Phong,2014-11-07T13:48:31,OMG over 2 billion views!﻿,0
